content,Tampilan,Autentikasi,Transaksi
Gaada fitur mobile tunai nya🙂,,,Negative
"Tolong ! Gabisa login katanya ada keselahan sistem, saya jadi kesulitan untuk cek gajih masuk",,Negative,
"Utk user interface ny lebih menarik dari BNI mobile. Tapi usul saya ketika sedang ada maintenance ataupun update harap diberitahukan sebelumnya. Sering sekali ketika mau pakai, eh ada update atau mainenance. Kan ga lucu kalau lagi di depan kasir mau bayar tp aplikasinya gabisa dipake.",Positive,,Negative
"Bentar Ya, tim kami sedang perbaiki supaya kamu bisa pakai lagi. Coba lagi nanti ya. Aplikasi Apa ini bukan malah lebih bagus malah sering ganguan Fitur Tarik Tunai tanpa kartu di Wondr tidak ada. 25-11-2024",,,Negative
Susah login padahal signal bagus,,Negative,
"SUMPAH APLIKASI INI SANGAT BURUK SEKALI, SERING ERROR!!! SAYA MAU TRANSAKSI GAK BISA TRUS KANA ADA PERBAIKAN ENTAH APA ITU !!!!! Sumpah bikin naim darah tinggi 😭",,,Negative
susah mau tf dll kalau sering gangguan,,,Negative
"kebanyakan bug error nya payah, loading mulu. gagal login terus transaksi jadi terhambat, KENDALA TERUS GA NIAT BIKIN APK KIRAIN BAKAL LEBIH BAIK DARI BNI MOBILE BANKING",,Negative,Negative
Coba tambahin fitur tarik tunai,,,Positive
Gk bisa login tgl 25-11-2024,,Negative,
Entah kenapalah Wonder BNi ini 😭😭😭 tolong lah jangan lama lama kalau perbaikan. Orang mau transaksi jadi susah,,,Negative
"Ga bisa buka app, lagi gangguan terua, ganggu banget mau transaksi ya ampun parah",,,Negative
aplikasi tai anjig duit gua nyangkut aplikasi lo stuck ngentot,,,Negative
"Mohon bantuannya kenapa ya wonder sering gangguan. Belum lagi untuk top up ovo, shoppepay, gopay dll selalu tidak bisa. Jadinya saya tf dlu ke bri saya. Setiap mau top up saya jadi ribet. Dan per hari ini wonder ga bisa dibuka.",,,Negative
"KALAU PERBAIKAN TUH JANGAN SIANG SIANG, APALAGI HARI KERJA. LU KIRA GAADA TRANSAKSI PENTING? NGAPAIN PINDAH WONDR, MENDING PAKE BNI. NYESEL NARO SEMUA UANG DISINI, KALAU KAJADIAN GINI JADI GABISA TRANSAKSI. PINDAH BCA AJA LAH",,,Negative
Lebih mudahh digunakan tp kenapa suka maintenance di siang hari pas lg jam makan siang:( jd susah mau bayar2,,,Negative
"Lebih simple dan mudah yang sekarang, kalau dulu pusing sama fiturnya, selain berantakan, kadang suka lupa dan bingung akses semulanya (semisal: sehabis buka fitur apa udah lupa.., jadi jarang dipakai mbanking BNI di aku buat nabung aja). 

Karna sekarang lebih mudah dan sederhana untuk dipahami, ngga pusing menunya dan juga udah mulai coba2 buat payment virtual account dan pembayaran mode Qris. Wondr keren! Pertahankan 👍🏻",Positive,,Positive
Bikin malu mau buka qris malah gak bisa buka loading mulu..malu banget dikasir mau bayar sampe antri gara2 loe wonder,,,Negative
gajelas bgt hobi bet maintenance SIANG BOLONG buat transaksi? mau fomo sm apk lain tp maksain jd fitur masi jelek bgt wkwk,,,Negative
"Ini gimana 2 hari ini gangguan terus, padahal kita juga mau transaksi",,,Negative
Kami sedang optimalin sistem terus padahal lagi penting butuh transaksi,,,Negative
"ini kok susah login? malahan gak bisa login keterangan lagi gangguan, tolong dong solusinya",,Negative,
"UX lebih mudah. UI lebih nyaman. Tapi masih butuh banyak penambahan fitur dan kelengkapan lainnya, contoh fitur tarik tunai. Tolong jadiin mauku tsb ada di Wondr, makasih :D",Positive,,Negative
gua mau bayar malah gangguan,,,Negative
sukak kali gangguan kalo belom bisa di luncurkan gak usah dibuat mau transaksi jadi masalah aja,,,Negative
Kenapa hari ini ga bisa login woiii,,Negative,
"Transfer kebank lain selalu limit harus dibawah 50 juta jadi semakin ribet,padahal aplikasi dulu bisa kok langsung transfer banyak,kalau yang baru isi shopeepay aja gak bisa lebih dari 2 juta biasanya yang lama bisa lebih dari 5 juta keatas",,,Negative
"Apk menyulitkan, sering Gagal, ui nya membingungkan, gak bisa bwt kerja cepet. Kebanyakan manual, mau beli token aja Gagal Gagal terus, payah mau switch ke Wondr pikir2 dl deh",Negative,,
"selau bermasalah, mbanking tidak bisa dipakai lagi semua diarahkan ke wonder, sudah pakai wonder, malah wondernya yang sering bermasalah. login telah berakhir lah, sedang perbaikan lah, mohon diperbaiki segera.",,Negative,
"Sesi berakhir terus, padahal sedang login. Mau login lagi ga bisa",,Negative,
Tidak bisa simpan nomor internet/tv untuk mempermudah transaksi selanjutnya,,,Positive
"Masih perlu datang dan daftar di kantor cabang. Padahal semua udah serba digital. Masih kalah sama BCA, dan Jenius yang sudah bisa sepenuhnya online 100%.",,Negative,
"Kak kalo tidak percaya sama aplikasinya sendiri mah gak usah di kembangin kak, iya kali di bukti transaksi tertulis GAGAL/Tidak terkirim, tetapi CS ngotot klo transanksi tersebut sukses
Aplikasi bilang gagal, cs bilang sukses.

Bukti klo cs aja gak percaya dengan aplikasi wonder",,,Negative
lebih bagus simple dan menarik,Positive,,
Historis transaksi tidak sedetil BNI Mobile.,,,Negative
Makin satset keren abis BNI ♥️,Positive,,
Sistem eror pembayaran pegadaian tidak berhasil,,,Negative
Aplikasi nya Mudah Banget digunakan Akses nya cepet AI nya Keren Puas dengan aplikasi ini 🤙,Positive,,
Lebih Kekinian Sangat Mudah DiPakai dan Pilihan Transaksi Mudah Dimengerti dan Digunakan…Banyak Solusi Baru Yang Sangat Membantu dan Menguntungkan Penggunanya🙌🙌🙌🙌 MENYALA BNI,,,Positive
"Tolong tambahin fitur untuk tarik tunai dan setor tunai tanpa kartu, fitur itu sangat membantu sekali..
Fitur yang sangat bagus di app BNI mobile sebelum nya kenapa tidak ada di app baru seperti wonder ini?
Nasabah menggunakan app lama BNI mobile di arahkan ke app baru Wonder dengan fitur yg tidak selengkap app lama, padahal fitur yg di app lama sangat membantu.",,,Negative
"SUSAH LOGIN WOIIII, BALIK TERUS KE PERSETUJUAN PERSYARATAN",,Negative,
Update data transaksinya kelamaaan. Mending yg lama,,,Negative
"Aplikasinya belum siap rilis dan launcing. Fitur tarik tunai belum ada, lalot juga kadang nunggu untuk login aja bisa bermenit menit sya kira hp sya yg jeljar tau tau tmn yg lain jga kadang ngeluh gitu.",,Negative,Negative
"Apk ya gak jelas sering bug belum login udah sesi telah habis,sekalinya mau login langsung sesi telah habis lagi",,Negative,
"Aplikasinya keren banget, mudah digunakan",Positive,,
Kok sesinberakhir mulu padahal baru login,,Negative,
"RIBET DAFTAR HARUS SCAN ULANG KTP, COBA BISA LANGSUNG ALIHOAN DATA DARI BNI MOBIL KE APK INI TANPA HARUS SCAN KTP",,Negative,
Oiiii developernya buat apps gimana si? Log in failed mulu ke restart2 ke syarat n ketentuan meleeee deh,,Negative,
butuh fitur tarik dan setor tunai segera!!,,,Positive
"Nice app So far so good Cmn menurut sya detail sisa saldo setelah kluar masuk uang ditampilkan jga,,seperti app sblum nya,krna setelah sya perhatikan detail itu penting krna ngk smua user ingat sisa saldo akhir, btw gw baru cek lagi utk pembayaran pendidikan cmn bsa universitas indonesia ngk ada pilihan lain seperti di Mbanking huhuhu,,hope fully segera di tambahkan ,,jdi susah mau byr UKT..mohon di pertimbangkan utk di realisasikan thanks",,,Positive
tolong di tambahkan menu kepelabuhanan di aplikasi WONDR BY BNI. butuh untuk pembayaran kepelabuhanan,,,Negative
"Kalau memang diharuskan untuk verifikasi wajah tolong dong aplikasinya yg responsif, sampe capek saya di minta ini itu sampe mata saya sakit pada akhirnya gagal terus",,Negative,
"Stiap transaksi sering delay, gagal, n parah nya lg saldo tetep kpotong, nelp cs jg ga ngsih solusi, ga mmbantu sm skali, tolong lh BNI jgn mmpersulit nasabah nya, apalg ini prmsalahan uang loh, klo nasabah mnta uang ny balik tlng jgn d persulit, apa susah ny sih d kmbalikan, kn udh jls klo brmsalah, tlng tingkat kn lg kpuasan nasabah dlm brtransaksi dan refund saldo, thx u",,,Negative
tidak tersambung sama tekomsel jadi susa isi pulsa !!! waktu sesi abis katanya TAPI SALDO KEPOTONG AJAH kureng mending BNI MOBILE DULU.,,,Negative
"tolong kembalikan fitur e-statement seperi di BNI Mobile Banking, cek mutasi gak lengkap infonya, harus cetak rekening koran ke cs.",,,Negative
"TDK BSA MERUBAH TAGIHAN MENJADI CICILAN PADA MENU KARTU KREDIT, TDK BSA CETAK BUKTI TRANSFER SEBULAN LALU! TIDAK MENCATAT AUTODEBET BULANAN, PERBAIKI BAMBANG🩴🩴🩴",,,Negative
"Password ga bisa di screenshot, forgot password malah ngulang dari foto ektp dll capek kali lah. Kirim OTP melalui Whatsapp juga lama, maunya berbayar melalui SMS untuk apa ada pilihan Whatsapp dan SMS???",,,Negative
"Aplikasi lama bisa tarik tunai tanpa kartu , yg baru ini malah nggk bisa aneh .",,,Negative
Telat masuk riwayat transaksinya sedangkan yg lama langsung kliatan di riwayat hari ini,,,Negative
"Sampai saat ini bekerja dengan baik. Tetapi saya dapat masalah ketika rekan saya transfer dana, dana tersebut tidak ada masuk ke rekening saya tetapi di mbanking temen saya dana tersebut sudah berhasil masuk. Apakah ada delay atau gimana mohon segera diperbaiki",,,Negative
"Akhirnya punya alasan stop pakai BNI! Verifikasi gagal berhari hari, diminta ke cabang terdekat! Parah nyusahjn nasabah! Pindah ke BriMo akhirnya!",,Negative,
"Setiap mau login harus lewatin SKU pengguna, udah checklist menyetujui ketentuan, tapi tetap tidak bisa login. Apakah checklist penawaran bersifat mandatory? Pls check lagi ketentuannya ya.",,Negative,
"Halo, saya sudah regist ke wondr dan sudak sukses. Setelah saya logout dan mau masuk lagi, malah selalu ke redirect ke page “syarat dan ketentuan”, saya pilih OK kemudian muncul pop up sesi anda habis. Setelah itu masuk ke halaman utama dan ke redirect ke page “syarat dan ketentuan” lagi dan begitu seterusnya sampai negara api menyerang. Tlg difix atau hubungi saya bagaimana cara resolve nya.",,Negative,
"Tolong dong ini kok ga bisa masuk sihh, kan udah log in terus pas mau masuk di suruh ke tahap awal saat mau log in saat di pencet selanjutnya di bilang anda sudah login, GIMANAA SIHHH😭😭",,Negative,
Menarik dan mudah.. useful,Positive,,
Untuk pengisian saldo Listrik/ PLN sistem sering eror keterangan gagal tapi saldo saya tetap terpotong.,,,Negative
"Gimana sih ini pemeliharaan sistem terus
Ini saya sama sekali gabisa buat transaksi disaat urgent, MENGECEWAKAN!!",,,Negative
Ketika login ndak bisa masuk. kesalahan sistem terus,,Negative,
"Mbanking bni kurang nyaman di pakai di bandingkan mbanking lainnya 
Beberapa hal yg menganggu
Salah satunya Tiba2 aplikasi tak bisa di pakai transaksi harus memverikasi ulang menggunakan ktp",,,Negative
Dear BNI aplikasi ini terlalu ribet dan nyusahin untuk urusan simpel sama bni harus pakai 2 aplikasi dan wondr sering tidak bisa lanjut ketika harus verifikasi akun,Negative,Negative,
Ditunggu menu tarik dan setor tunai nya 😊👍,,,Positive
Udah verif semua mau log in ke lempar hrs regist ulang. Payah,,Negative,
Tolong tambah fitur tarik tunai tanpa kartu dan juga fitur pembelian SBN,,,Positive
Tolong kedepannya saldo minimum atm 20k. Ini sangat menyulitkan mahasiswa. Saldo masih lebih >20k untuk top up ttp tidak bisa.,,,Negative
"Baru downlod tp udh ngbug
Tampilan persetujuan awal keluar terus pdhl sudah verifikasi
Mohon diperbaiki",Negative,Negative,
"Saya install dan daftarkan, saya kira akan langsung terkoneksi ke beberapa rekening saya, eh malah dapat rekening virtual baru (lagi) dengan saldo yg kosong. Tidak ada fitur menambahkan rekening yang mebingungkan saya, dmn beberapa fitur di M-Banking yg lama sdh tdk berlaku lagi. Terancam gbs ngapa”in. Sepertinya harus pindahkan seluruh saldo ke Livin’ aja.",,Negative,Negative
"Untuk transaksi pembayaran menggunakan qris memang sangat mudah, sayapun merasa sangat terbantu dengan fiturnya.
Hanya saja jika meluncurkan wondr untuk penggantikan bni mobile saya rasa masih kurang.
Karna saat akan transfer/topup ke dana limitnya terlalu kecil 😭😭. Mohon untuk menambahkan limitnya. Terima kasih",,,Positive
Bayar pln gagal terus.. mendingan bni mobile .. bni wondr tidak ada record id pln dr yg lama..,,,Negative
"Mau verifikasi aja susah bener, develop yang serius apps nya",,Negative,
"Saya ingin buka rekening melalui wondr namun selalu keluar notif kendala di sistem. Sudah berulang kali redownload aplikasi namun tetap sama.

Rekening lama saya juga tidak otomatis terhubung ke aplikasi ini sementara email sudah terdaftar.

Untuk tampilan aplikasi no issue, jauh lebih fresh, easy to use dan lebih menarik.",Positive,Negative,Negative
"fitur lengkapp
tapi tolong lah kalo mutasi transaksi langsung ada jangan ke esokan harinya gitu loh misalkan lg urgend ada malasah apa bigung mau ngasi bukti tf gimana kalo lupa ke download kan mutasinya ngga langsung muncin",,,Negative
"Keseluruhan untuk apk Wonder by BNI ini sudah bagus, design yang modern, fitur apk yang lengkap dan mudah di pahami. Namun belakangan ini untuk fitur “Bayar dan Beli” sedikit mengalami gangguan. Contohnya ingin membeli token listrik, keterangan “TRANSAKSI GAGAL” namu saldo terpotong sebesar harga token yang dipilih. 

Mohon untuk diperbaiki, jika memang terdapat kendala, mohon untuk di hold sementara fitur tersebut sehingga customers tidak kecewa dengan hal seperti ini. 

Terimakasih, saya menunggu tanggapannya.",Positive,,Negative
"Beli token listrik, saldo sudah kepotong ga balik tp ga keluar nomor token. Sudah telp call center tapi ribet. Jelek banget lah, ribet",,,Negative
"SEBAIKNYA BELANJA TOKEN LISTRIK D ALFAMART DARIPADA DI APLLIKASI INI, riwayat transaksi tdk muncul malah kita disuruh buka apllikasi my PLN lagi. Riwehhh😡🤬",,,Negative
"Aplikasi tidak bermutu, daftar jelas jelas saya sudah dewasa, tidak bisa karena belum 17 tahun, ktp aja jelas sudah tua, sampe bosen daftar di aplikasi",,Negative,
"Verifikasi email lambat masuk, mempersulit kerja orang",,Negative,
"Cek mutasi ribet menunya, ga sepraktis mb yang lama.",,,Negative
Aplikasi jelek tampilan tidak sebagus bni mbanking,Negative,,
verifikasi wajah gagal terus. malesaa. pssword juga rumit.,,Negative,
Tampilan fresh dan lebih mudah di gunakan. Lag nya lebih sedikit ketimbang app lama.,Positive,,
Aplikasinya bagus bgt dan keren😍,Positive,,
"tidak bisa transfer di atas 5jt, sekalipun berhasil transfer 5jt pending pula. hah... ini penurunan performa.",,,Negative
"Saya beli token di aplikasi wondr, transaksi gagal namun saldo terpotong dan tidak dikembalikan ke rekening sampai skrg",,,Negative
"Menu tarik tunai tanpa kartu di adakan min, sama saat bayar listrik bisa simpan no id dong 
Terimakasih",,,Positive
"di ios 12 blm bisa di gunakan, baru buka e wallet langsung hilang, bisa log in, tapi blm sampai trx juga langsung hilang, tlg di perbaiki ya,,,",,Negative,Negative
"Tidak bisa dibuka di 5S, boro” mau dipake transaksi dibuka aja ga bisa, disiapkan dulu yg mateng baru dirilis",,,Negative
"nyusahin aj. verifikiasi wajah ampe kiamat ga bisa2. bet verifi wajah pake timer pula, nyusahin aj lu",,Negative,
Transaksi lebih mudah apalagi penggunaan qrish nya gak ribet udh d menu luar tinggal klik dan masukan pin😍,,,Positive
Saya sudah pernah pakai Wondr dan kmrn stlh update saya coba registrasi ulang dengan no hp dan email yang sudah terdaftar di BNI tetapi tdk bs lanjut karena ada tulisan “email ini sudah terdaftar” dari tim R n D pembuat aplikasi apakah tdk ada fitur pilihan sudah memiliki rekening? krn jika menggunakan email lain malah diarahkan buat rekening baru. Jika Aplikasi ini belum benar jangan memaksakan nasabah utk semua migrasi ke wondr BNI,,Negative,Negative
"Habis update harus verifikasi ulang pakai foto ktp lagi dan wajah, habis itu lupa password pakai verifikasi ulang pakai foto ktp, padahal saat buat pertama dl sudah pernah
Sy tau demi keamanan, tp dibuat hal yg lbh simpel. Akhirnya balik lagi ke BNI mobile krn simpel",Negative,Negative,
"Aplikasi sdh lebih bagus dari yg sebelumnya. Utk jadi masukan, di menu history transaksi juga dimunculkan catatan transaksi juga, jgn hanya nama pengirim saja. Krn kadang saat ngecek history, suka bingung/lupa ini dana masuk/keluar dalam rangka apa.",,,Positive
"riwayat transfer tidak rinci / lengkap, kdg kita perlu cek uang keluar masuk ga bisa dikarenakan tidak lengkap, terkadang ada yg ga tercatat, saran dariku dikasi riwayat tf yg lengkap , rinci dan bisa di unggah biar bs dibuat bukti simpan, terimakasih.",,,Negative
menunggu kode OTP lama sekali,,Negative,
Kirain wondr ini udh biss gantiin app yg satunya ternyata belum. Gabisa narik mobile cash atau apalah itu namanya,,,Negative
Masih mending aplikasi bni yg lama. Wonder masa tdk bisa dowload rekening koran,,,Negative
Belum bisa tarik tunai pakai wondr,,,Positive
"Aplikasi perbankan yang tidak ada menu Tarik/Setor tanpa Kartu, jadi tiap transaksi wajib pakai Kartu ATM ribeet yaa..???.",,,Negative
"Udah punya 2 aplikasi tapi 22 nya gak ada yang bisa cek estatement, apk BNI Mobile pop up Wonder nya sangat mengganggu setiap mau login",,Negative,
"Harus verifikasi email
Email OTP lama masuk nya, 
Ketika masukan otp tiba tiba kode salah
Padahal otomatis ngambil dari email(bukan di ketik manual)
Di coba beberapa kali masih sama
Sampai batas maksimum",,Negative,
"Berkali kali gagal saat verifikasi wajah, setelh gagal terakhir muncul info untuk datang ke bank BNI langsung. Sampe di BNI antrian menggila sampe 40an antrian, not gonna do this lame procedure. Harusnya dengan digitalisasi seperti ini mempermudah dan memperceat proses, lah ini makin ruwet 👎👎👎👎👎👎👎👎",,Negative,
Tidak bisa transaksi,,,Negative
"Sudah bagus tapi bisa dioptimalkan untuk bisa cardless, download e-statment transaksi dll",,,Positive
Aplikasi simpel,Positive,,
"Kok aneh ya wondr ini, transaksi gak realtime.. di notifikasi ada info uang masuk (memang ada yg transfer) tapi pas dicek disaldo kok gak masuk?? 3-4 jam setelahnya baru masuk. Masih bagus bni mobile yg lama",,,Negative
"Untuk transaksi lebih cepat dan mudah.
Aku suka aplikasi yg baru ini👍🏻👍🏻",,,Positive
"masih enak pakai apk yang lama, yang baru ga bisa tarik tunai tanpa kartu",,,Negative
"Lemot bgt skrng mau masuk apk ini, untung masih bisa login yg lama",,Negative,
Saya top-up gopay tapi uangnya ga masuk. konfirmasi ke e-mail berkali2 malah gadibalas,,Positive,Positive
Verifikasi wajah gagal trus pas login pke ada vidcall segala udh gtu katanya login berkali-kali padahal gk berkali kali . Jelek bgt . Mending yg bni mobile banking yg lama . Karna ada duitnya aja ini gw download klo gak ada MALES bgy .,,Negative,
"banyak promo, di donload, isi data lengkap, aktivasi verif email 5 menit ga masuk-masuk. diulang-ulang ganti email ttp ga bisa, terakhir pakai email lain bisa tapi dibilang terlalu banyak gagal, akhirnya disuruh verif besoknya. Hadeh",,Negative,
Proses verifikasi datanya lama banget. Kalah sama Blu BCA.,,Negative,
"tolong permudah aktivasinya,sering kali gagal mengenali wajah",,Negative,
Fitur  untuk mobile tunai emng belum ada ya ??,,,Positive
"Aku bandingin dengan aplikasi bank lain masuknya ke aplikasinya lebih cepet, pakai ini lama dan kadang gagal jadi gak bisa cepat buat transaksi coba diperbaiki lagi biar gak menghambat.",,,Negative
"Tarik tunai tanpa kartu di wonder belum ada, kartu kredit belum sinkron.",,,Negative
"Bagus sih lebih bagus tampilannya
Tapi ada beberapa opsi di app yg lama ga ada disini
Terus kenapa ga bisa nyimpan nomor pembayar ke favorite kan susah ya asal mau bayar tagihan yg nomornya bakalan itu mu lu tapi mesti masukin nomor terus",Positive,,Negative
"Kenapa ya min, Wondrnya setelan di on kan lngsung masuk menu buat rekening baru. Seharusnya masuk menu log in. Lagi error ya?",,Negative,Negative
tidak ada opsi untuk melihat rekening pinjaman,,,Negative
"Aplikasi dari BNI seperti menurut ku terlalu memaksa kami selaku BNI untuk me donwload aplikasi seperti ini padahal cukup pake BNI mbanking sudah cukup, masa mau bayar listrik aja di suruh download aplikasi ini dulu, seharusnya tidak mematikan aplikasi sebelumnya tinggal dari pengguna aplikasi lebih suka menggunakan aplikasi yang mana, ini namanya pemaksaan untuk kami dan pemborosan aplikasi untuk hp",,,Negative
"Ini saya kasih bintang dikit dulu karena masih butuh banyak perbaikan. Menurut saya mutasi rekening lebih bagus di mbanking yg lama karena dia ada Debet, Kredit, dan Saldo Akhir. Selain itu keterangan transfer masuk juga gak ada sama sekali 🤦🏻‍♀️ mobile tunai (tarik tunai tanpa kartu) juga belom ada. Sebelum mbanking yg lama di non aktifkan minta tolong banget diperbaiki dulu 🙏🏻",,,Negative
"Gak sebagus dulu. Sekarang cuma transaksi nya aja. Dulu bisa liat debit, kredit dan saldo akhir",,,Negative
"Kenapa yang sudah punya akun BNI musti scan dan selfie pakai KTP lagi ? Cuma bank BNI yang minta syarat ini,e-banking bank lain ga ada yang minta.",,Positive,
"Belum ada menu tarik tunai non kartu, uninstal lagi dah.",,,Negative
Tampilannya User friendly 👍🏻 ga usah dirubah2 yaa.. nyaman begini.,Positive,,
aplikasi sangat memudahkan sekali dan fiturnya juga sangat membantu … keren sih👍🏼👍🏼👍🏼👍🏼,Positive,,
"Aplikasi tidak lanjut ke tahap berikutnya, setelah verifikasi wajah kembali mengulang dari awal. Saya tidak merekomendasikan aplikasi ini di IOS. Platform sebelah jauh lebih baik karena mudah digunakan dan proses registrasinya cepat dan sederhana.",,Negative,
"Tidak adanya keterangan pada mutasi rekening sangat merepotkan bagi kami yg bekerja di bag. keuangan. Karna jika dari perusahan mentransfer dana kepada karyawan, karyawan bingung dana apakah yg masuk ke rekening mereka, dikarenakan dana yg ditransfer perusahaan tidak hanya berupa gaji. Dan banyak dari karyawan akhirnya menanyakan pada kami uang apa yang masuk ke rekening mereka. Mohon pada mutasi rekening dapat diberi keterangan transaksi seperti di aplikasi bni mobile yg sebelumnya",,,Negative
Gak ada mobile tunai,,,Negative
"awalnya menu qris tidak muncul, setelah muncul transaksi tidak berhasil hanya loading saja, akhirnya bayar lewat menu transfer bank",,,Negative
"Knapa dipake aplikasinya kalau belum sempurna? Bagusan juga aplikasi yg lama. Yg sekarang fiturnya gk lengkap, gak ada mobile tunainya..dan suka eror..",,,Negative
"Parah ini fitur tidak lengkap, jangan ajak orang bergantu aplikasi kalau ternyata tidak selengkap aplikasi bni mobile banking. Akhirnya hanya menghambat keperluan transaksi saja.",,,Negative
"mohon bantuan untuk dapat di perbaiki layanan terkait gagal otentifikasi kode OTP via email, padahal sudah memasukkan 6 digit yg tertera di email",,Negative,
"min berikan opsi rubah tata letak iconnya dong.
berhubung saya sering mengunakan pembayaran PENERIMAAN NEGARA, kesanya jadi ribet buka2 menu.",,,Negative
"Tampilan lbh bagus dan mudah dgn yg saat ini

Namun tolong di tambahkan fitur download rekening koran/estatment untuk transaksi perbulan seperti di aplikasi BNI Mobile, fitur ini di wondr tidak ada",Positive,,Positive
Sangat mudah pengaplikasiannya. Lebih simple.,Positive,,
"Bagaimana cetak rekening rekening/download histori transaksi seperti di mobile banking bni kak ??
Soalnya belum ada toolsnya saya liat untuk mendownload seperti yg ada di mobile banking BNI kak",,,Positive
Mau daftar aja coba lagi terus,,Negative,
Next semoga bisa per rekening dikasih nama biar memudahkan memisah tiap transaksi sesuai tujuan,,,Positive
"kapan release tarik tunai via apps nya? , ini gampang banget apps nya dari pada yang lama",,,Positive
Tampilannya kurang menarik,Negative,,
"Gagal terus verifikasi wajah, tim IT sama QA nya lebih di push lagi. Aplikasi masih banyak BUG.",,Negative,
"Gue developer! Dan gue sukaa sama app nya! Designnya cantik, cepet, UX fungsional, migrasi dari bni mobile banking gampang, kurang apa lagi coba woi??
Oh verifikasi wajahnya aja si tadi agak macet dikit tp ternyata gue kurang ngedip doang lol
Baru kali ini gw happy sama app-nya BUMN HAHAHAHA
Kudos Wondr team!",Positive,Positive,
Lebih lengkap menu nya di aplikasi sebelumnya. Terus suka eror terus aplikasi nya kalo mau login tu,,Negative,
"Cara pakai lbh mudah dibanding bni mobile, to transfer antar bank lama sampainya sempat lebih dari 12 jam, isi gooay jg lama prosesnya ga langsung masuk, sampai sy tulis teview ini aja belum masuk (sekitar sejaman) , mengecewakan siy. Tetap lebih aman dan cepat aplikasi lama",,,Negative
tolong segera tambahkan fitur tarik tunai tanpa kartu… itu butuh banget kadang kadang klo lupa bawa kartu dan lagi butuh cash🙏,,,Positive
Kasih fitur tarik tunai tanpa kartu dong min,,,Positive
"Wondr the best, applikasinya mengikuti era saat ini, biar hidup lebih berwarna dan semoga isi rekeningpun ikut berwarnaaaa melambangkan kebahagiaaan.",Positive,,Positive
"Data Anda bocor! Segera perbaiki! Baru kejadian ada orang telepon, mengaku dari BNI, menawarkan kenaikan limit KK dan pembebasan iuran tahunan. Ajaibnya penelepon tahu saya punya KK BNI berapa banyak, limit saya, pembayaran terakhir saya jumlahnya berapa. Segera saya telepon BNI Call Center, tidak ada program itu. Si penipu juga menyuruh saya aktif lakukan pembelanjaan di KK BNI saya hingga Desember 2024. Suatu penunjuk waktu yang bukan kebetulan karena akhir Desember 2024 kata petugas BNI asli, BNI mobile banking sudah akan ganti Wondr semua. Pasti ada kaitannya. Setelah kami cek2, kenapa si penipu punya semua data itu, ternyata semua data itu terpampang di aplikasi Wondr ini. Kami tidak ada pakai KK BNI kami sembarangan. Jadi kami simpulkan penipu bisa mengakses data2 di aplikasi Wondr kami. Alert! Alert! Segera perbaiki sistem keamanan Anda dan jangan anggap remeh. Kebiasaan Bank BUMN sistem keamanan lemah, ga pernah serius nanggapi nasabah, sistem dibobol berulang2, baik dari orang luar maupun orang dalam sendiri. Seriuslah BUMN! Kamu bawa nama negara! Hati2 Guys, dengan aplikasi ini. Belum 100% terproteksi data kita, mungkin tidak akan pernah juga bisa 100% terproteksi kalau berupa kerjaan BUMN dan situs2 pemerintah. Mengecewakan semua!",,,Negative
Verifikasi wajah gagal terus harus di depan matahari mungkin yaa baru kebaca,,Negative,
"Tampilannya lebih sederhana dan ga lemot juga, tapi pas scan qris agak ga beres wkwk, mana lagi akhir bulan, scan pertama dibilang dana tidak terkirim, pas di scan lagi di aplikasi yang lama eh malah ke charge juga, bayar 2 kali jadinya :’(",Positive,,Positive
Proses login ribet dikit2 wajah gak kebaca,,Negative,
Aplikasi nya bagus dan keren. Tapi masih belum bisa cetak rekening koran secara online,Positive,,Positive
"Dari hari minggu mencoba untuk verifikasi email sampai hari ini berpuluh2 kali mencoba kirim OTP ke email tdk pernah menerima kode OTP di email sekalipun, jd ya pasti tetap hrs ke kantor CS BNI juga, offline juga. Kalau memang aplikasinya belum siap lebih baik tidak usah pindah Wondr dulu, daripada merugikan customer nantinya, mohon diperbaiki lagi dengan lebih hati hati, terima kasih 🙏🏻",,Negative,
"Aplikasi buruk. Gagal terus verifikasi. Uda ke cabang 3x pun, ttp CS nya ga bisa juga. Bolak balik tlp IT dan CS pusat pun lambat!",,Negative,
"Tarik tunai di ATM uang nya ga mau keluar, tapi saldo sudah berkurang, Atm Dimana"" eror semua di luar kota saya coba semua juga rusak eror",,,Negative
"Tolong diperbaiki penghapusan riwayat transaksi, ini kita mau hapus tidak bisa. Ganggu nomor rekening orang lain ga bisa kita hapus. Rombak lagi.",,,Negative
"Ini gmn sih aplikasinya forced close terus kelur terus ga bisa transaksi apapun jdnya, hp saya iphone 6 dan sdh dgn iOS tebaru, jaringan stabil, ruang penyimpanan jg tdk penuh, tapi kaya gitu terus dr awal install aplikasi, menyulitkan sekali",,,Negative
I like this app so simple,Positive,,
Dari kemaren verifikasi email tapi kode ga masuk2 ke email 🙃,,Negative,
Payah dua kali transaksi top up gopay gagal semua dan uang tidak kembali saya kecewa sekali!!!padahal diapk sebelumnya aman saja tidak ada kendala dan saya transaksi lewat apk lain bisa tidak ada kendala!!,,,Negative
